Time,Pct
2019-11-11 17:00:00,0.9333333333333333
2019-11-11 17:01:00,1
2019-11-11 17:02:00,0.05
2019-11-11 17:03:00,0.7833333333333333
2019-11-11 17:04:00,1
2019-11-11 17:05:00,1
2019-11-11 17:06:00,1
2019-11-11 17:07:00,0.9666666666666667
2019-11-11 17:08:00,0
2019-11-11 17:09:00,0
2019-11-11 17:10:00,0
2019-11-11 17:11:00,0
2019-11-11 17:12:00,0
2019-11-11 17:13:00,0
2019-11-11 17:14:00,0
2019-11-11 17:15:00,0
2019-11-11 17:16:00,0
2019-11-11 17:17:00,0
2019-11-11 17:18:00,0
2019-11-11 17:19:00,0
2019-11-11 17:20:00,0
2019-11-11 17:21:00,0
2019-11-11 17:22:00,0
2019-11-11 17:23:00,0
2019-11-11 17:24:00,0
2019-11-11 17:25:00,0
2019-11-11 17:26:00,0
2019-11-11 17:27:00,0
2019-11-11 17:28:00,0
2019-11-11 17:29:00,0
2019-11-11 17:30:00,0
2019-11-11 17:31:00,0
2019-11-11 17:32:00,0
2019-11-11 17:33:00,0
2019-11-11 17:34:00,0
2019-11-11 17:35:00,0
2019-11-11 17:36:00,0
2019-11-11 17:37:00,0
2019-11-11 17:38:00,0
2019-11-11 17:39:00,0
2019-11-11 17:40:00,0
2019-11-11 17:41:00,0
2019-11-11 17:42:00,0
2019-11-11 17:43:00,0.85
2019-11-11 17:44:00,1
2019-11-11 17:45:00,0.13333333333333333
2019-11-11 17:46:00,0
2019-11-11 17:47:00,0
2019-11-11 17:48:00,0
2019-11-11 17:49:00,0
2019-11-11 17:50:00,0
2019-11-11 17:51:00,0
2019-11-11 17:52:00,0
2019-11-11 17:53:00,0
2019-11-11 17:54:00,0
2019-11-11 17:55:00,0
2019-11-11 17:56:00,0
2019-11-11 17:57:00,0
2019-11-11 17:58:00,0
2019-11-11 17:59:00,0
